DistrictName,SubCountyName
GULU,LALOGI
KITGUM,LABONGO AKWANG
GULU,ODEK
GULU,ONGAKO
KITGUM,KITGUM TC
KITGUM,LABONGO AMIDA
KITGUM,LABONGO LAYAMO
LAMWO,LOKUNG
KITGUM,LAGORO
KITGUM,MUCWINI
KITGUM,NAMOKORA
KITGUM,OMIYA ANYIMA
KITGUM,OROM
MUKONO,MUKONO TC
AGAGO,WOL
AGAGO,LAPONO
LAMWO,PADIBE EAST
AGAGO,ADILANG
LAMWO,PADIBE WEST
AGAGO,LIRA PALWO
AGAGO,PAIMOL
PADER,ACHOLIBUR
AGAGO,LUKOLE
AGAGO,OMOT
DOKOLO,KANGAI
AGAGO,PARABONGO
AMURU,LAMOGI
AGAGO,PATONGO
AGAGO,KALONGO TC
AMURU,AMURU
LAMWO,AGORO
AMURU,ATIAK
AMURU,PABBO
LAMWO,MADI OPEI
LAMWO,PALABEK OGILI
LAMWO,PALABEK GEM
LAMWO,PALABEK KAL
LAMWO,PALOGA
NWOYA,ALERO
NWOYA,ANAKA
NWOYA,PURONGO
NWOYA,KOCH GOMA
PADER,ATANGA
PADER,AWERE
PADER,KILAK
ABIM,LOTUKEI
PADER,LAGUTI
PADER,PAJULE
PADER,LAPUL
PADER,PADER TC
PADER,PURANGA
PADER,OGOM
NAKAPIRIPIRIT,LOREGAE
PADER,ANGAGURA
PADER,LATANYA
GULU,UNYAMA
AMURU,AMURU TC
KOTIDO,KACHERI
KOTIDO,KOTIDO
KOTIDO,KOTIDO TC
KOTIDO,NAKAPELIMORU
KOTIDO,PANYANGARA
KOTIDO,RENGEN
NAKAPIRIPIRIT,KAKOMONGOLE
NAKAPIRIPIRIT,MORUITA
NAKAPIRIPIRIT,NAKAPIRIPIRIT TC
DOKOLO,KWERA
NAKAPIRIPIRIT,NAMALU
ABIM,MORULEM
NAKAPIRIPIRIT,LOLACHAT
NAKAPIRIPIRIT,LORENGEDWAT
NAKAPIRIPIRIT,NABILATUK
ABIM,ABIM
ABIM,ALEREK
